review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name,Normalized_Rating,Review Length
R3IX6XG05V3GXN,B0D4SX9RC6,1.0 out of 5 stars Cheaply made,Robbie,1.0,Speakers dented in in 2 spots. Have no idea what caused it. Only 3 and a half months old. Buyer beware,2025-03-19,AF5QSSEIENQXICY2GTYQAFLXEBZA,False,0,"Color: Dark Gray, Style: Pill, Set: Without AppleCare+",Beats Pill,0.0,21
R3B19E5XJ7ABEU,B0D4SX9RC6,5.0 out of 5 stars Muy buena calidad en el audio,Oscar Luis familia,5.0,El mejor sin dudas el mejor,2025-03-19,AEOLGLZO4IH4TTPYH6WLY3TW7FZQ,False,0,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,6
R802HQK2NCGXC,B0D4SX9RC6,5.0 out of 5 stars Superior Surround Sound,Brigitte Robertson,5.0,Excellent sound quality and construction,2025-03-18,AGYMRBK7M5ZEOIR4XCUWS4CLONGQ,False,0,"Color: Matte Black, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,5
R11NK16RQ5PSVA,B0D4SX9RC6,5.0 out of 5 stars Great Sound and Beautiful color!,Mary,5.0,Love the color. Good quality.,2025-03-17,AEGTHTYGLTCV4Y7D6P3EVMQ5S5OA,False,0,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,5
RA2P2GSROLQUH,B0D4SX9RC6,5.0 out of 5 stars Beats make for great music/entertainment,Brandon S Guevara,5.0,"I love music and this was such a great purchase. I’m surprised on how fast I got it due to Amazon Prime , and I’m glad I’m a member.",2025-03-16,AEA2PPDJEBOAGU6IG2XTYAYOWQOQ,False,0,"Color: Statement Red, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,29
R2AFUX9UAAGNQ2,B0D4SX9RC6,1.0 out of 5 stars not worth the money,KimSD,1.0,battery life not as advertised,2025-03-16,AENB5JMNXCSXVMUVHODTDBNVQ3MQ,False,0,"Color: Matte Black, Style: Pill, Set: Without AppleCare+",Beats Pill,0.0,5
R16OW8T7RG9OOG,B0D4SX9RC6,5.0 out of 5 stars Buy it,Glenda Valladares Td,5.0,I really love it,2025-03-15,AFB6IO3LT3EZGIEPJ6VNROVNFD2A,False,0,"Color: Statement Red, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,4
RY3KSJE1CXYCV,B0D4SX9RC6,5.0 out of 5 stars Good,Pierre,5.0,Great,2025-03-12,AFIDQA4BWHJI6GFLSJZHSE2FJC5A,False,0,"Color: Statement Red, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,1
R3MQNLEGZ6258C,B0D4SX9RC6,1.0 out of 5 stars Garbage product not worth a dollar,Chris Hoyns,1.0,"I would give this zero stars if I could. There is a known issue with the speakers not charging. The charge light blinks red three times and then nothing. No idea whether factory reset worked. Bought a new usb-c cable just to see whether the included cable was defective. Based on my Google searches, it seems that this is a regularly defective product. Do not buy from this distributor. I will never buy from this manufacturer ever again.",2025-03-12,AEAQ7LKLWGL7ONMAQJKP5UKSF3TQ,False,1,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,0.0,78
R2IDPV0NV3426O,B0D4SX9RC6,1.0 out of 5 stars Battery Life,Emily F.,1.0,Does not stay charged up to 24 hours. At the most 3 hours. Q,2025-03-11,AEE6ELA4QWEHBFBIIOMBWXGU4UUQ,False,1,"Color: Matte Black, Style: Pill, Set: Without AppleCare+",Beats Pill,0.0,14
RL7FO2YLA5X67,B0D4SX9RC6,5.0 out of 5 stars Works fine with Apple,Kent Hasel,5.0,Works fine with Apple. Better than other choices.,2025-03-11,AGVYQWOTWIWQPZYP5GF3ZZK4VC7Q,False,0,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,8
RHTWSYTSLC8QJ,B0D4SX9RC6,3.0 out of 5 stars Desepción,YURI BORMAR,3.0,"Me gusta la marca, el diseño, pero me costo mucho cargarlo, hasta que descubrí qurs es mejor cargarlo con 20 watts.",2025-03-09,AHZHOQTLBVVESTIORBANNYRIML2A,False,0,"Color: Dark Gray, Style: Pill, Set: Without AppleCare+",Beats Pill,0.5,21
R1X2BMV1N03SJG,B0D4SX9RC6,5.0 out of 5 stars Great sound and battery life.,SHOEI,5.0,Sounds great. Easy to connect to apple products. Too heavy for hiking but great for the beach or backyard.,2025-03-07,AFJ3FWQ7XKXQHAI25XR35Q53ZHGA,False,0,"Color: Matte Black, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,19
R17M2Q0XJ0XCM9,B0D4SX9RC6,4.0 out of 5 stars Cool beats,Sekou stevens,4.0,"It’s a great speaker but honestly it could be louder, but aye that’s just me lol",2025-03-06,AE4LC33XEF552ZCPWSJCDOHN6KUQ,False,0,"Color: Statement Red, Style: Pill, Set: Without AppleCare+",Beats Pill,0.75,16
R2BHEMFLI2ZJEE,B0D4SX9RC6,3.0 out of 5 stars Sounds great,Tony,3.0,Sounds pretty great but my biggest complaint is that it doesn't turn off automatically if you don't use it for a little while. My old one used to turn off if you didn't use it for 30 minutes. This just stays on and it kills the battery,2025-03-06,AF4YS57JRCY25XPXNLWCXXSE3LBA,False,0,"Color: Matte Black, Style: Pill, Set: Without AppleCare+",Beats Pill,0.5,47
R3UGWEZ1GRTUCV,B0D4SX9RC6,5.0 out of 5 stars Great volume,Chris,5.0,Best purchase I made all year alongside the Beats Pro 4. This has the bump we need and great travel size,2025-03-04,AE5NBJI7N4QCC3BQ2BPSIQ5QZF2Q,False,0,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,21
R29RAAH9X5L5DJ,B0D4SX9RC6,5.0 out of 5 stars Excellent,Fashion Muppet,5.0,Room of sound,2025-03-04,AFKK7FPVQ5NOSSYLVUQZ6NBSMTPQ,False,0,"Color: Champagne Gold, Style: Pill, Set: Without AppleCare+",Beats Pill,1.0,3
R2O6CBFML23XSC,B0D4SX9RC6,4.0 out of 5 stars No satisfecho,Evelyn garcia,4.0,Pensé q por el precio y los 100 vatios se iba a escuchar más fuerte y no se escucha tan fuerte como pensé,2025-03-04,AEXQPMH37DZJV7EXWRM3S46YBVZQ,False,0,"Color: Statement Red, Style: Pill, Set: Without AppleCare+",Beats Pill,0.75,23
